filename	region	type	sv_count	length	length_mb	count_per_mb
6478A	interstitial	INV	43	2579949747.49	2579.94974749	0.0166669913016074
6478A	telomere	DEL	3750	173929196.46	173.92919646	21.5604974686491
6478A	telomere	DUP	2	173929196.46	173.92919646	0.0114989319832795
6478A	telomere	INS	3167	173929196.46	173.92919646	18.2085587955231
6483C	centromere	DEL	1899	144940997.05	144.94099705	13.1018831017487
6483C	centromere	DUP	1	144940997.05	144.94099705	0.00689935918996771
6483C	centromere	INS	1467	144940997.05	144.94099705	10.1213599316826
6483C	centromere	INV	4	144940997.05	144.94099705	0.0275974367598708
6483C	interstitial	DEL	11315	2579949747.49	2579.94974749	4.38574433901599
6483C	interstitial	DUP	10	2579949747.49	2579.94974749	0.0038760444887459
6483C	interstitial	INS	10486	2579949747.49	2579.94974749	4.06442025089895
6483C	interstitial	INV	27	2579949747.49	2579.94974749	0.0104653201196139
6483C	telomere	DEL	3811	173929196.46	173.92919646	21.9112148941391
6483C	telomere	DUP	3	173929196.46	173.92919646	0.0172483979749193
6483C	telomere	INS	3231	173929196.46	173.92919646	18.5765246189881
6500D	centromere	DEL	2159	144940997.05	144.94099705	14.8957164911403
6500D	centromere	DUP	1	144940997.05	144.94099705	0.00689935918996771
6500D	centromere	INS	1512	144940997.05	144.94099705	10.4318310952312
6500D	centromere	INV	1	144940997.05	144.94099705	0.00689935918996771
6500D	interstitial	DEL	10860	2579949747.49	2579.94974749	4.20938431477805
6500D	interstitial	DUP	12	2579949747.49	2579.94974749	0.00465125338649508
6500D	interstitial	INS	10047	2579949747.49	2579.94974749	3.89426189784301
6500D	interstitial	INV	19	2579949747.49	2579.94974749	0.00736448452861722
6500D	telomere	DEL	4007	173929196.46	173.92919646	23.0381102285005
6500D	telomere	DUP	5	173929196.46	173.92919646	0.0287473299581988
6500D	telomere	INS	3245	173929196.46	173.92919646	18.657017142871
6500D	telomere	INV	5	173929196.46	173.92919646	0.0287473299581988
6605D	centromere	DEL	1695	144940997.05	144.94099705	11.6944138269953
6605D	centromere	DUP	1	144940997.05	144.94099705	0.00689935918996771
6605D	centromere	INS	1241	144940997.05	144.94099705	8.56210475474992
6605D	centromere	INV	4	144940997.05	144.94099705	0.0275974367598708
6605D	interstitial	DEL	10774	2579949747.49	2579.94974749	4.17605033217484
6605D	interstitial	DUP	11	2579949747.49	2579.94974749	0.00426364893762049
6605D	interstitial	INS	9908	2579949747.49	2579.94974749	3.84038487944944
6605D	interstitial	INV	32	2579949747.49	2579.94974749	0.0124033423639869
6605D	telomere	DEL	3532	173929196.46	173.92919646	20.3071138824716
6605D	telomere	DUP	3	173929196.46	173.92919646	0.0172483979749193
6605D	telomere	INS	2882	173929196.46	173.92919646	16.5699609879058
6605D	telomere	INV	5	173929196.46	173.92919646	0.0287473299581988
