Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction.x	chr_arm	median_TL	mad_TL	norm_TL	direction.y	direction
6423A	chr5q	3837.5	5	q	3.8375	Negative	chr5q	4392.25	1132.4375	-0.489872509520393	Negative	Negative
6436B	chr5p	5587.5	5	p	5.5875	Positive	chr5p	5180.66666666667	695.799999999999	0.584698668199671	Positive	Positive
6436B	chr5q	7119.5	5	q	7.1195	Negative	chr5q	5180.66666666667	695.799999999999	2.7864807894989	Negative	Negative
6439C	chr5p	9609	5	p	9.609	Positive	chr5p	6026.88333333334	1509.25	2.37344155485616	Positive	Positive
6439C	chr5q	4512	5	q	4.512	Negative	chr5q	6026.88333333334	1509.25	-1.00373253823643	Negative	Negative
6478A	chr5p	4829.5	5	p	4.8295	Positive	chr5p	5179.75	1593.75	-0.219764705882353	Positive	Positive
6478A	chr5q	9295.66666666667	5	q	9.29566666666667	Negative	chr5q	5179.75	1593.75	2.58253594771242	Negative	Negative
6483C	chr5p	6910	5	p	6.91	Positive	chr5p	5076.5	1412.5	1.29805309734513	Positive	Positive
6483C	chr5q	3951	5	q	3.951	Negative	chr5q	5076.5	1412.5	-0.796814159292035	Negative	Negative
6500D	chr5p	6060.5	5	p	6.0605	Positive	chr5p	5589	821	0.574299634591961	Positive	Positive
6500D	chr5q	4729.5	5	q	4.7295	Negative	chr5q	5589	821	-1.0468940316687	Negative	Negative
6605D	chr5p	8951.25	5	p	8.95125	Positive	chr5p	5149.625	1144.25	3.32237273323137	Positive	Positive
6605D	chr5q	4559	5	q	4.559	Negative	chr5q	5149.625	1144.25	-0.516167795499235	Negative	Negative
2436A	chr6p	4048.5	6	p	4.0485	Negative	chr6p	5303	1180.08333333333	-1.06306051832498	Negative	Negative
2436A	chr6q	5896.92857142857	6	q	5.89692857142857	Positive	chr6q	5303	1180.08333333333	0.50329375447658	Positive	Positive
3188	chr6p	2707.5	6	p	2.7075	Negative	chr6p	2824.125	399.5	-0.291927409261577	Negative	Negative
3188	chr6q	2246.33333333333	6	q	2.24633333333333	Positive	chr6q	2824.125	399.5	-1.44628702544849	Positive	Positive
3988	chr6p	2850.25	6	p	2.85025	Negative	chr6p	5689.5	1319.25	-2.15216979344324	Negative	Negative
6265D	chr6p	7669.25	6	p	7.66925	Negative	chr6p	5717	1149.5625	1.69825477083673	Negative	Negative
6265D	chr6q	8975	6	q	8.975	Positive	chr6q	5717	1149.5625	2.83412167672484	Positive	Positive
6266D	chr6p	4795.375	6	p	4.795375	Negative	chr6p	4866	845.25	-0.0835551611949127	Negative	Negative
6266D	chr6q	3383.5	6	q	3.3835	Positive	chr6q	4866	845.25	-1.7539189588879	Positive	Positive
6269C	chr6p	6963	6	p	6.963	Negative	chr6p	4756.8	934.825	2.36001390634611	Negative	Negative
6277A	chr6p	3839.66666666667	6	p	3.83966666666667	Negative	chr6p	5226.83333333333	1114.33333333333	-1.2448399641041	Negative	Negative
6277A	chr6q	7479	6	q	7.479	Positive	chr6q	5226.83333333333	1114.33333333333	2.02108884235717	Positive	Positive
6285B	chr6p	3463	6	p	3.463	Negative	chr6p	3274.75	322	0.584627329192547	Negative	Negative
6285B	chr6q	4018.5	6	q	4.0185	Positive	chr6q	3274.75	322	2.30978260869565	Positive	Positive
6298B	chr6p	1641	6	p	1.641	Negative	chr6p	5124.5	926.5	-3.75984889368591	Negative	Negative
6298B	chr6q	4143.5	6	q	4.1435	Positive	chr6q	5124.5	926.5	-1.05882352941176	Positive	Positive
6314E	chr6p	3820	6	p	3.82	Negative	chr6p	4374.5	1163.5	-0.476579286635153	Negative	Negative
6314E	chr6q	4838	6	q	4.838	Positive	chr6q	4374.5	1163.5	0.398366996132359	Positive	Positive
6324B	chr6p	5239	6	p	5.239	Negative	chr6p	5251.5	871.5	-0.0143430866322433	Negative	Negative
6324B	chr6q	4250.5	6	q	4.2505	Positive	chr6q	5251.5	871.5	-1.14859437751004	Positive	Positive
6365A	chr6p	1875.5	6	p	1.8755	Negative	chr6p	4419.25	882.65	-2.88194641137484	Negative	Negative
6365A	chr6q	4836	6	q	4.836	Positive	chr6q	4419.25	882.65	0.472157706905342	Positive	Positive
6414C	chr6p	6200	6	p	6.2	Negative	chr6p	3494	384	7.046875	Negative	Negative
6414C	chr6q	5129	6	q	5.129	Positive	chr6q	3494	384	4.2578125	Positive	Positive
6423A	chr6p	6808	6	p	6.808	Negative	chr6p	4392.25	1132.4375	2.13323031072355	Negative	Negative
6423A	chr6q	5479	6	q	5.479	Positive	chr6q	4392.25	1132.4375	0.95965561013301	Positive	Positive
6436B	chr6p	2295.16666666667	6	p	2.29516666666667	Negative	chr6p	5180.66666666667	695.799999999999	-4.14702500718598	Negative	Negative
6436B	chr6q	5735.5	6	q	5.7355	Positive	chr6q	5180.66666666667	695.799999999999	0.797403468429622	Positive	Positive
6439C	chr6q	9609	6	q	9.609	Positive	chr6q	6026.88333333334	1509.25	2.37344155485616	Positive	Positive
6478A	chr6p	5004	6	p	5.004	Negative	chr6p	5179.75	1593.75	-0.110274509803922	Negative	Negative
6478A	chr6q	7965	6	q	7.965	Positive	chr6q	5179.75	1593.75	1.74760784313725	Positive	Positive
6483C	chr6p	3580.5	6	p	3.5805	Negative	chr6p	5076.5	1412.5	-1.05911504424779	Negative	Negative
6483C	chr6q	4985.5	6	q	4.9855	Positive	chr6q	5076.5	1412.5	-0.064424778761062	Positive	Positive
6500D	chr6p	4441	6	p	4.441	Negative	chr6p	5589	821	-1.39829476248477	Negative	Negative
6500D	chr6q	5955.5	6	q	5.9555	Positive	chr6q	5589	821	0.446406820950061	Positive	Positive
6605D	chr6p	4249.75	6	p	4.24975	Negative	chr6p	5149.625	1144.25	-0.78643216080402	Negative	Negative
6605D	chr6q	7141.25	6	q	7.14125	Positive	chr6q	5149.625	1144.25	1.74055057898187	Positive	Positive
2436A	chr7p	4684.33333333333	7	p	4.68433333333333	Positive	chr7p	5303	1180.08333333333	-0.524256761528145	Positive	Positive
2436A	chr7q	6483.08333333333	7	q	6.48308333333333	Positive	chr7q	5303	1180.08333333333	1	Positive	Positive
3188	chr7p	1615	7	p	1.615	Positive	chr7p	2824.125	399.5	-3.02659574468085	Positive	Positive
3188	chr7q	2375.75	7	q	2.37575	Positive	chr7q	2824.125	399.5	-1.12234042553191	Positive	Positive
3988	chr7p	5220	7	p	5.22	Positive	chr7p	5689.5	1319.25	-0.355884025014213	Positive	Positive
3988	chr7q	5331	7	q	5.331	Positive	chr7q	5689.5	1319.25	-0.271745309835134	Positive	Positive
6265D	chr7p	5219.25	7	p	5.21925	Positive	chr7p	5717	1149.5625	-0.432990811721851	Positive	Positive
6265D	chr7q	7775.5	7	q	7.7755	Positive	chr7q	5717	1149.5625	1.79068123742728	Positive	Positive
6266D	chr7p	4870	7	p	4.87	Positive	chr7p	4866	845.25	0.00473232771369417	Positive	Positive
6266D	chr7q	6241	7	q	6.241	Positive	chr7q	4866	845.25	1.62673765158237	Positive	Positive
