Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction	TL_group
6265D	chr12q	7486	12	q	7.486	Positive	Other
6266D	chr12p	4092.5	12	p	4.0925	Positive	Other
6266D	chr12q	2331	12	q	2.331	Positive	Other
6269C	chr12p	4043.16666666667	12	p	4.04316666666667	Positive	Short TL
6269C	chr12q	4918.75	12	q	4.91875	Positive	Short TL
6277A	chr12p	6638.75	12	p	6.63875	Positive	Other
6277A	chr12q	6703	12	q	6.703	Positive	Other
6285B	chr12p	3126.5	12	p	3.1265	Positive	Short TL
6285B	chr12q	3656	12	q	3.656	Positive	Short TL
6298B	chr12p	3916	12	p	3.916	Positive	Other
6298B	chr12q	5358.5	12	q	5.3585	Positive	Other
6314E	chr12q	8929	12	q	8.929	Positive	Other
6324B	chr12p	3744.5	12	p	3.7445	Positive	Other
6324B	chr12q	3334	12	q	3.334	Positive	Other
6365A	chr12p	6876	12	p	6.876	Positive	Other
6365A	chr12q	4486.5	12	q	4.4865	Positive	Other
6414C	chr12p	3801.5	12	p	3.8015	Positive	Short TL
6414C	chr12q	3275.25	12	q	3.27525	Positive	Short TL
6423A	chr12p	4860.5	12	p	4.8605	Positive	Other
6423A	chr12q	5828	12	q	5.828	Positive	Other
6436B	chr12p	5063.5	12	p	5.0635	Positive	Other
6436B	chr12q	4837.25	12	q	4.83725	Positive	Other
6439C	chr12p	2460	12	p	2.46	Positive	Other
6439C	chr12q	6020.5	12	q	6.0205	Positive	Other
6478A	chr12p	3972	12	p	3.972	Positive	Other
6478A	chr12q	6452.5	12	q	6.4525	Positive	Other
6483C	chr12p	5712.5	12	p	5.7125	Positive	Other
6483C	chr12q	3204	12	q	3.204	Positive	Other
6500D	chr12p	6425.5	12	p	6.4255	Positive	Other
6500D	chr12q	6895.5	12	q	6.8955	Positive	Other
6605D	chr12p	6821.16666666667	12	p	6.82116666666667	Positive	Other
6605D	chr12q	3801.25	12	q	3.80125	Positive	Other
2436A	chr13p	7972.28571428571	13	p	7.97228571428571	Negative	Other
2436A	chr13q	5454	13	q	5.454	Positive	Other
3188	chr13p	4230.5	13	p	4.2305	Negative	Short TL
3188	chr13q	3465	13	q	3.465	Positive	Short TL
3988	chr13p	8283	13	p	8.283	Negative	Other
3988	chr13q	5875.33333333333	13	q	5.87533333333333	Positive	Other
6265D	chr13p	3786.5	13	p	3.7865	Negative	Other
6265D	chr13q	11754	13	q	11.754	Positive	Other
6266D	chr13p	7050	13	p	7.05	Negative	Other
6266D	chr13q	7529.66666666667	13	q	7.52966666666667	Positive	Other
6269C	chr13p	5922	13	p	5.922	Negative	Short TL
6269C	chr13q	5219	13	q	5.219	Positive	Short TL
6277A	chr13p	4624	13	p	4.624	Negative	Other
6277A	chr13q	7173.33333333333	13	q	7.17333333333333	Positive	Other
6285B	chr13p	4943	13	p	4.943	Negative	Short TL
6285B	chr13q	4999.5	13	q	4.9995	Positive	Short TL
