"Sample","Chr_Arm","SV_Type","SV_Count","SV_Size_Sum","SV_Rate","SV_Proportion"
"3988","chr4q","DEL",7,0.033941,0.049602306070732,0.000240507410049531
"3988","chr4q","INS",6,0.013695,0.0425162623463417,9.7043368805525e-05
"3988","chr5p","BND",2,0.001032,0.0413925453971189,2.13585534249134e-05
"3988","chr5p","DEL",1,0.000861,0.0206962726985595,1.78194907934597e-05
"3988","chr5p","INS",3,0.005594,0.0620888180956784,0.000115774949475742
"3988","chr5q","BND",10,211.934464,0.0747789012227547,1.58482263491535
"3988","chr5q","DUP",2,0.01357,0.0149557802445509,0.000101474968959278
"3988","chr5q","INS",2,0.001847,0.0149557802445509,1.38116630558428e-05
"3988","chr6p","BND",8,0.091436,0.134064997526166,0.00153229588922531
"3988","chr6p","DEL",9,0.025192,0.150823122216936,0.000422170677209896
"3988","chr6p","INS",8,0.00728,0.134064997526166,0.000121999147748811
"3988","chr6q","BND",2,1.646832,0.017785037234754,0.0146444842196922
"3988","chr6q","DEL",12,0.340421,0.106710223408524,0.00302720008024609
"3988","chr6q","DUP",1,0.004441,0.00889251861737698,3.94916751797712e-05
"3988","chr6q","INS",2,0.006077,0.017785037234754,5.40398356377999e-05
"3988","chr7p","DUP",1,0.000244,0.0161122871738057,3.9313980704086e-06
"3988","chr7p","INS",2,0.003935,0.0322245743476115,6.34018500289256e-05
"3988","chr7q","BND",4,0.02566,0.0406079031527499,0.00026049969872489
"3988","chr7q","DEL",7,0.402032,0.0710638305173123,0.00408141913007659
"3988","chr7q","DUP",3,6.65949,0.0304559273645624,0.0676069812416766
"3988","chr7q","INS",3,0.003892,0.0304559273645624,3.95114897676256e-05
"3988","chr8p","DEL",5,1.815474,0.110447308063343,0.0401028432317978
"3988","chr8p","INS",1,0.007193,0.0220894616126685,0.000158889497379925
"3988","chr8q","BND",2,0.003178,0.0198041615970076,3.14688127776451e-05
"3988","chr8q","DEL",2,0.016343,0.0198041615970076,0.000161829706489948
"3988","chr8q","DUP",1,0.091548,0.0099020807985038,0.000906515692941426
"3988","chr8q","INS",4,0.006875,0.0396083231940152,6.80768054897136e-05
"3988","chr8q","INV",1,0.000887,0.0099020807985038,8.78314566827287e-06
"3988","chr9p","DEL",3,0.032215,0.0648407721368828,0.000696281824796559
"3988","chr9p","DUP",1,0.01634,0.0216135907122943,0.000353166072238888
"3988","chr9p","INS",1,0.003614,0.0216135907122943,7.81115168342314e-05
"3988","chr9q","BND",10,34.186846,0.0958312799085831,0.327616920821762
"3988","chr9q","DEL",4,0.007664,0.0383325119634332,7.34450929219381e-05
"3988","chr9q","INS",4,0.01371,0.0383325119634332,0.000131384684754667
"6265D","chr1p","BND",4,0.002788,0.0322455129502132,2.24751225262986e-05
"6265D","chr1p","DEL",6,0.02042,0.0483682694253197,0.000164613343610838
"6265D","chr1p","INS",4,0.008507,0.0322455129502132,6.85781446668659e-05
"6265D","chr1q","BND",4,0.757092,0.0321700997886738,0.00608893129730166
"6265D","chr1q","DEL",2,0.028989,0.0160850498943369,0.000233144755693466
"6265D","chr1q","DUP",1,0.006393,0.00804252494716845,5.14158619872479e-05
"6265D","chr1q","INS",3,0.003718,0.0241275748415054,2.99021077535723e-05
"6265D","chr10p","BND",2,0.017368,0.0492014711928707,0.000427265575838889
"6265D","chr10p","DEL",1,5.8e-05,0.0246007355964354,1.42684266459325e-06
"6265D","chr10p","INS",2,0.002873,0.0492014711928707,7.06779133685588e-05
"6265D","chr10q","BND",2,44.99467,0.0212519653950422,0.478112584900672
"6265D","chr10q","DEL",6,0.047803,0.0637558961851266,0.000507953850889601
"6265D","chr10q","DUP",2,0.004555,0.0212519653950422,4.84013511872086e-05
"6265D","chr10q","INS",2,0.002949,0.0212519653950422,3.13360229749897e-05
"6265D","chr10q","INV",1,0.09987,0.0106259826975211,0.00106121689200143
